text,cleaned text
“Diabetes stigma can cause people to hide visible devices like pumps or CGMs.”,Diabetes stigma can cause people to hide visible devices like pumps or CGMs.
“Fear of judgement pushes some to inject insulin in private.”,Fear of judgement pushes some to inject insulin in private.
“Blame language can lead to dangerous blood sugar manipulation.”,Blame language can lead to dangerous blood sugar manipulation.
“Stigma can discourage people from seeking mental‑health help.”,Stigma can discourage people from seeking mental‑health help.
“Misconceptions make it harder for people to find partners.”,Misconceptions make it harder for people to find partners.
“Labeling diabetes as ‘self‑inflicted’ discourages empathy.”,Labeling diabetes as ‘self‑inflicted’ discourages empathy.
“Media stereotypes reduce complex disease to lazy lifestyle choices.”,Media stereotypes reduce complex disease to lazy lifestyle choices.
"“Stigma intersects with weight bias, compounding discrimination.”","Stigma intersects with weight bias, compounding discrimination."
“Workplace discrimination includes subtle exclusion from opportunities.”,Workplace discrimination includes subtle exclusion from opportunities.
“Shame can turn support groups into spaces of comparison and guilt.”,Shame can turn support groups into spaces of comparison and guilt.
“Some parents hide a child’s diabetes from relatives to avoid gossip.”,Some parents hide a child’s diabetes from relatives to avoid gossip.
"“Healthcare trainees sometimes trivialize type 2 diabetes, reinforcing stigma.”","Healthcare trainees sometimes trivialize type 2 diabetes, reinforcing stigma."
“Fear of being seen as ‘weak’ stops athletes from testing glucose publicly.”,Fear of being seen as ‘weak’ stops athletes from testing glucose publicly.
“Some cultures view insulin as a failure rather than a life‑saving therapy.”,Some cultures view insulin as a failure rather than a life‑saving therapy.
“Insurance questionnaires force people to disclose diabetes and risk higher premiums.”,Insurance questionnaires force people to disclose diabetes and risk higher premiums.
“Online ‘diabetes police’ comment on every food photo a person posts.”,Online ‘diabetes police’ comment on every food photo a person posts.
“Dating apps users sometimes unmatch after learning I have diabetes.”,Dating apps users sometimes unmatch after learning I have diabetes.
“Airport security searches my medical devices as if they were contraband.”,Airport security searches my medical devices as if they were contraband.
